premise,hypothesis,label
"Even after the collapse of the economic bubble in 1992, construction projects are everywhere.",All construction projects came to a halt in 1992 when the economic bubble collapsed.,0
yes i've had a German Shepherd that did that one time,I had a German Shepherd that shed half of its fur once.,1
oh no well i don't find a lot of time to watch TV and a lot of the time i find it during the day when i'm rocking my little girl to sleep  so i watch a lot of reruns old shows,"I watch TV constantly throughout the day, except when my daughter is trying to sleep.",0
"The Congress can play a key role in facilitating the information-sharing aspect of critical infrastructure protection, as it did regarding the Year 2000 computing challenge.",Congress cannot help share information for infrastructure protection.,0
"who stirs inarticulate passion by singing very much like a woman (Mark Levine, The New Yorker ). Critics are surprised by the success of the New York City Opera at transposing Handel's piece from ancient Greece to 18 th -century England.",Some people find Mark Levine's high pitched voice annoying.,1
well of course there's this other one that i've i've talked to fairly regularly in Dallas um same thing her husband signed up for it and she's the one that does it,I talk to her on the phone about what she does.,1
and uh my back,"And also, not my back. ",0
Maybe he was better off returned to the death that had claimed him.,His life was horrible and so it was clear he would be happier dead. ,1
"Its two destinies come together in the Piazza del Duomo, where open-air cafe and ice cream parlors look up a long monumental staircase to the Arab-Norman campanile and polychrome mosaic facade of the Romanesque cathedral, built as a symbol of the republic's glory.",Piazza del Duomo does not have any food shops.,0
"How was I to know?""",There's no way I could have known about the storm. ,1
International film festivals are held at Venice and Taormina.,The awards given at those international film festivals are important in the film world.,1
